"Incident.Type";"Complaint.Tracking.Number";"Date.Complaint.Occurred";"Date.Complaint.Received.by.NOPD..PIB.";"Date.Complaint.Investigation.Complete";"Complaint.classification";"Investigation.status";"Disposition";"Bureau.of.Complainant";"Division.of.Complainant";"Unit.of.Complainant";"Unit.Additional.Details.of.Complainant";"Working.Status.of.Complainant";"Shift.of.Complainant";"Rule.Violation";"Paragraph.Violation";"Unique.Officer.Allegation.ID";"Officer.Race.Ethnicity";"Officer.Gender";"Officer.Age";"Officer.years.of.service";"Complainant.Gender";"Complainant.Ethnicity";"Complainant.Age"
"1";"Public Initiated";"2016-0002-P";"1/2/2016 12:00:00 AM";"1/1/2016 12:00:00 AM";"8/3/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"7th District";"Night Watch";"Patrol";"Regular Working";"Between 11pm-7am";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";30667;"Black";"Male";60;42;"Female";"White";NA
"2";"Public Initiated";"2016-0002-P";"1/2/2016 12:00:00 AM";"1/1/2016 12:00:00 AM";"8/3/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"7th District";"Night Watch";"Patrol";"Regular Working";"Between 11pm-7am";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";30669;"Black";"Male";44;21;"Female";"White";NA
"3";"Public Initiated";"2016-0001-P";"1/1/2016 12:00:00 AM";"1/1/2016 12:00:00 AM";"7/21/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"";"8th District";"";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";30664;"";"";NA;NA;"Male";"Black";NA
"4";"Public Initiated";"2016-0005-P";"1/3/2016 12:00:00 AM";"1/4/2016 12:00:00 AM";"2/7/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"8th District";"8th District";"Patrol";"Paid Detail";"Between 11pm-7am";"RULE 6: OFFICIAL INFO";"PARAGRAPH 02 - FALSE OR INACCURATE REPORTS";30931;"Black";"Male";34;13;"Male";"Black";39
"5";"Public Initiated";"2016-0008-P";"12/30/2015 12:00:00 AM";"1/4/2016 12:00:00 AM";"5/13/2016 12:00:00 AM";"DI-1";"Completed";"Other";"FOB - Field Operations Bureau";"Communications Division";"Administration";"Adminstrative Staff";"Regular Working";"Between 7am-3pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE";30855;"Black";"Male";53;34;"Female";"Black";NA
"6";"Public Initiated";"2016-0009-P";"1/4/2016 12:00:00 AM";"1/4/2016 12:00:00 AM";"3/20/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"8th District";"8th District";"Patrol";"Regular Working";"Between 3pm-11pm";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";30671;"White";"Male";NA;5;"";"";NA
"7";"Public Initiated";"2016-0006-P";"12/30/2016 12:00:00 AM";"1/4/2016 12:00:00 AM";"7/25/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"Command Staff";"Admin";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE";30674;"Black";"Male";54;34;"Female";"Black";50
"8";"Public Initiated";"2016-0007-P";"12/30/2015 12:00:00 AM";"1/4/2016 12:00:00 AM";"7/25/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"Communications Division";"Admin";"";"Regular Working";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE";30675;"Black";"Male";53;34;"Female";"Black";49
"9";"Public Initiated";"2016-0003-P";"1/2/2016 12:00:00 AM";"1/4/2016 12:00:00 AM";"6/9/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"4th District";"2nd Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";30774;"Black";"Male";41;5;"Male";"White";58
"10";"Public Initiated";"2016-0003-P";"1/2/2016 12:00:00 AM";"1/4/2016 12:00:00 AM";"6/9/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"4th District";"2nd Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";30776;"Black";"Male";44;7;"Male";"White";58
